"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3,J2";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";2;"1W IR LED";;;
2;"C46,C23,C45,C42,C10,C7,C24,C31,C34,C30,C41,C25,C38,C33,C37";"C_0504_1310Metric";15;".1uF";;;
3;"R9";"R_0201_0603Metric";1;"100K";;;
4;"U6";"XCVR_AP6255";1;"AP6255";;;
5;"R34,R25,R32,R27,R33,R23,R29,R26,R31,R30,R22,R28";"R_0201_0603Metric";12;"0";;;
6;"C5";"C_0504_1310Metric";1;"100nF";;;
7;"R7";"R_0201_0603Metric";1;"453k";;;
8;"C12,C9,C8,C11,C39,C43";"C_0504_1310Metric";6;"22uF";;;
9;"C13";"C_0504_1310Metric";1;"22pF";;;
10;"U4";"BGA153N50P14X14_1150X1300X100";1;"MTFC8GAKAJCN-4M_IT";;;
11;"R52,R51,R53,R55,R24,R54,R42,R4,R43";"R_0201_0603Metric";9;"1k";;;
12;"C6,C22,C21,C20,C14,C36,C32";"C_0504_1310Metric";7;"1uF";;;
13;"L1";"L_0201_0603Metric";1;"2.2uH";;;
14;"J14";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"~";;;
15;"D5";"D_SMF";1;"SMF5V0A";;;
16;"MK1";"MIC_ICS-43434";1;"ICS-43434";;;
17;"U10";"SOT-23-5";1;"LMV331";;;
18;"C4";"CP_Elec_3x5.3";1;"47uF";;;
19;"R56,R62,R67,R68";"R_0201_0603Metric";4;"0 Ohm";;;
20;"U2";"Texas_DRT-3";1;"TPD2EUSB30";;;
21;"R59,R60,R8,R48,R47,R57,R58";"R_0201_0603Metric";7;"100k";;;
22;"R21,R20";"R_0201_0603Metric";2;"100";;;
23;"Y1";"Crystal_AT310_D3.0mm_L10.0mm_Horizontal";1;"26MHz";;;
24;"R2,R3,R61";"R_0201_0603Metric";3;"33";;;
25;"R10,R12,R50,R11";"R_0201_0603Metric";4;"47k";;;
26;"U8,U7";"TSOT-23-5";2;"AL8860WT";;;
27;"R39,R13,R38,R15,R19,R37,R17,R41,R14,R40,R16";"R_0201_0603Metric";11;"22";;;
28;"D2,D1";"D_SMA";2;"SM5059";;;
29;"C3,C18";"C_0504_1310Metric";2;"15pF";;;
30;"Q1,Q8,Q7,Q2";"SOT-23";4;"2N7002";;;
31;"C44,C17,C40,C16,C35,C15";"C_0504_1310Metric";6;"4.7uF";;;
32;"R5,R6";"R_0201_0603Metric";2;"5.1k";;;
33;"R49,R36,R35,R64,R65,R18,R66,R1";"R_0201_0603Metric";8;"10k";;;
34;"J12";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"Servo Tilt";;;
35;"IC2";"SY8208BQNC";1;"SY8208BQNC";;;
36;"F1";"Fuse_0805_2012Metric";1;"Polyfuse_Small";;;
37;"IC1";"BGA409C65P21X21_1400X1400X90";1;"RV1126";;;
38;"R44,R45";"R_0201_0603Metric";2;"0.3 Ohm";;;
39;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"1W Mono Speaker";;;
40;"R46";"R_0201_0603Metric";1;"1M";;;
41;"L3,L2";"L_0201_0603Metric";2;"68uH";;;
42;"C26,C29,C19";"C_0504_1310Metric";3;"10uF";;;
43;"R63";"R_0201_0603Metric";1;"240";;;
44;"J11";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"Servo Pan";;;
45;"U5";"BGA9N40P3X3_134X143X69N";1;"MAX98357AEWL_T";;;
46;"C27,C28";"C_0504_1310Metric";2;"47uF";;;
47;"U3";"IC_MT41K512M16VRP-107_IT_P_TR";1;"MT41K512M16VRP-107_IT_P_TR";;;
48;"C2,C1";"CP_Elec_3x5.3";2;"470uF";;;
49;"J5";"JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05";;;
50;"J13";"CONN_502244-2430_MOL";1;"FFC Connector To IMX307";;;
51;"Q3";"LED_D3.0mm_Clear";1;"TEPT4400";;;
52;"L4";"L_0201_0603Metric";1;"22uH";;;
53;"AE1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Antenna";;;
